[00:00 - 00:12]  So, finally.
[00:17 - 00:21]  It's kind of wet.
[00:21 - 00:23]  wet.
[00:34 - 00:36]  When the hebron rains comes
[00:43 - 00:45]  it's not...
[00:45 - 00:47]  It doesn't have the capacity
[00:48 - 00:50]  to flush everything down
[00:51 - 00:53]  the pipes outside the pool
[00:54 - 00:56]  So when it's heavy rain
[00:57 - 01:01]  the water will start flooding the whole terrace
[01:02 - 01:06]  That means that all the dirt, stones and everything
[01:06 - 01:09]  gets drawn into the corners
[01:10 - 01:12]  and then it's going to be
[01:14 - 01:17]  a stop with pipes and we have a problem
[01:17 - 01:19]  So I'm going to be there
[01:19 - 01:22]  which is to take these copper parts
[01:23 - 01:25]  and this one
[01:27 - 01:29]  and directly out
[01:31 - 01:33]  That's what we are going to do
[02:50 - 02:52]  No
[02:55 - 02:57]  No
[02:57 - 02:59]  No
[03:00 - 03:02]  No
[03:03 - 03:05]  Like this
[03:09 - 03:11]  It's
[03:20 - 03:22]  No
[03:25 - 03:27]  No
[03:29 - 03:31]  No
[03:32 - 03:34]  No
[03:36 - 03:38]  No
[03:40 - 03:42]  No
[03:43 - 03:45]  No
[03:46 - 03:48]  No
[03:49 - 03:51]  No
[04:11 - 04:13]  No
[04:20 - 04:22]  No
[04:34 - 04:36]  No
[04:49 - 04:51]  No
[05:19 - 05:21]  No
[05:32 - 05:34]  No
[05:34 - 05:36]  That's cool
[05:36 - 05:40]  Going to try to grab the kitchen there
[05:41 - 05:45]  and show you more in detail
[05:45 - 05:47]  So
[05:47 - 05:49]  You know, when it comes down
[05:50 - 05:52]  and comes down to the floor
[05:55 - 05:58]  it goes out on the floor everywhere
[05:59 - 06:01]  Now
[06:01 - 06:04]  it will go straight to that hole
[06:04 - 06:06]  instead of the whole terrace
[06:08 - 06:13]  So that's amazing, I think
[06:14 - 06:16]  So we have another one
[06:17 - 06:19]  Okay
[06:20 - 06:23]  So I guess we can have this like a tent kit
[06:23 - 06:25]  Right?
[06:25 - 06:27]  That's a good idea
[06:29 - 06:31]  Love tent plates
[06:34 - 06:36]  Old stuff
[06:40 - 06:42]  Put this up again
[06:43 - 06:46]  So we can get rid of some stuff here
[07:04 - 07:06]  Sorry
[07:13 - 07:15]  So, so, so
[07:28 - 07:30]  You don't have to
[07:42 - 07:44]  No
[07:53 - 07:55]  Maybe that's not good
[07:57 - 07:59]  Well, we'll see
[07:59 - 08:01]  We'll see
[08:01 - 08:04]  We will start by cutting this
[08:06 - 08:08]  This thing
[08:08 - 08:10]  anyway
[08:10 - 08:12]  So
[08:12 - 08:15]  Adjustment that
[08:18 - 08:20]  Adjustment
[08:20 - 08:22]  Adjustment
[08:23 - 08:25]  So
[08:25 - 08:28]  This is the home thing
[08:28 - 08:30]  Maybe
[08:30 - 08:32]  Like this
[08:32 - 08:34]  Shhh
[08:38 - 08:40]  Let's hold the pipe first
[08:46 - 08:48]  Next to the porch
[09:02 - 09:04]  So
[09:32 - 09:34]  So
[09:42 - 09:44]  Then
[09:47 - 09:49]  So
[09:49 - 09:51]  We have this
[10:02 - 10:04]  So
[10:04 - 10:07]  Trying to get a little bit closer
[10:12 - 10:15]  So you can see me crawling around
[10:32 - 10:34]  So
[10:34 - 10:36]  So
[11:00 - 11:02]  Perfect
[11:02 - 11:04]  Look
[11:04 - 11:06]  It's down
[11:07 - 11:09]  Go out there
[11:11 - 11:14]  And the only thing
[11:14 - 11:17]  My wife will say now
[11:17 - 11:19]  Is that
[11:19 - 11:21]  The color we bought for this one
[11:23 - 11:25]  It's not like this one
[11:27 - 11:29]  But
[11:30 - 11:33]  It's functional and it's not
[11:33 - 11:35]  It's not so bad
[11:35 - 11:37]  It's a little bit
[11:37 - 11:39]  It's copper, not brown
[11:39 - 11:41]  I like the copper
[11:44 - 11:46]  Okay
[11:46 - 11:48]  Product done
[11:48 - 11:50]  Now I'm just going to
[11:50 - 11:52]  Clean the floor after me
[11:52 - 11:54]  Because it is
[11:54 - 11:56]  Super, super dirty
[11:59 - 12:01]  As you can see in the rain
[12:01 - 12:03]  And my feet
[12:03 - 12:05]  So I need to clean it
[12:05 - 12:07]  Then I can
[12:07 - 12:09]  Ask my wife to come up
[12:09 - 12:11]  And see
[12:19 - 12:21]  So
[12:21 - 12:23]  In this room
[12:23 - 12:25]  We will
[12:25 - 12:27]  Try to fixate the roof
[12:27 - 12:29]  So it doesn't fall down
[12:29 - 12:31]  Why would that
[12:31 - 12:33]  Clean the entire
[12:33 - 12:35]  Coming in a couple of days
[12:57 - 12:59]  So
[13:27 - 13:29]  So
[13:57 - 13:59]  So
[14:27 - 14:29]  So
[14:57 - 14:59]  So
[15:27 - 15:29]  So
[15:57 - 15:59]  So
[16:27 - 16:29]  So
[16:46 - 16:48]  Thanks for watching this episode
[16:48 - 16:50]  If you like, hit the like button
[16:50 - 16:52]  If you want to see more from us
[16:52 - 16:54]  On this journey, hit the subscribe
[16:54 - 16:56]  Ciao
[16:57 - 16:59]  Bye
